cause,cause_cluster,effect,effect_cluster,text,id
the nuclear incident,0,the events,12,"the events after the nuclear incident in fukushima has left  a lasting impact in japan. for those in the exclusion zone, many were left with health issues due to the radiation. japan now also limits it's energy usage due to lac of energy after the emergency.",1355
the radiation,3,health issues,10,"the events after the nuclear incident in fukushima has left  a lasting impact in japan. for those in the exclusion zone, many were left with health issues due to the radiation. japan now also limits it's energy usage due to lac of energy after the emergency.",1356
lac,18,health issues,10,"the events after the nuclear incident in fukushima has left  a lasting impact in japan. for those in the exclusion zone, many were left with health issues due to the radiation. japan now also limits it's energy usage due to lac of energy after the emergency.",1357
the emergency,4,lac,18,"the events after the nuclear incident in fukushima has left  a lasting impact in japan. for those in the exclusion zone, many were left with health issues due to the radiation. japan now also limits it's energy usage due to lac of energy after the emergency.",1358
the worst earthquake,1,the worst nuclear disaster,0,"in 2011 japan suffered from the worst nuclear disaster in its history. due to the worst earthquake japan has ever experienced. over 100,000 people were displaced from their homes with the chance of thyroid cancer developing in girls and young women skyrocketing over the years.",1359
the tsunami,6,radioactive isotopes,3,"til in 2011 the tsunami that hit the nuclear reactor in fukushima caused radioactive isotopes to be released into the ocean that reached as far as california! over 100 000 people were displaced, and cancer remains a concern to this day.",1360
an earthquake,1,a tsunami,6,13 years ago an earthquake caused a tsunami of the coast of japan that resulted in the fukushima nuclear disaster. i wonder how those exposed are doing?,1361
a tsunami,6,the fukushima nuclear disaster,0,13 years ago an earthquake caused a tsunami of the coast of japan that resulted in the fukushima nuclear disaster. i wonder how those exposed are doing?,1362
the nuclear disaster,0,an energy crisis,2,the nuclear disaster impacted many parts of japan as well as the global nation. the impact is still being felt and is causing an energy crisis in addition to health issues.,1363
a tsunami,6,the fukushima nuclear disaster,0,"the fukushima nuclear disaster in 2011 was cause by a tsunami that was caused from an earthquake. large quantities of radioactive particles were even found on the coast of california, that is crazy.",1364
an earthquake,1,a tsunami,6,"the fukushima nuclear disaster in 2011 was cause by a tsunami that was caused from an earthquake. large quantities of radioactive particles were even found on the coast of california, that is crazy.",1365
a nuclear accident,0,a clearing zone,-1,there was a nuclear accident that left families devastated resulting in a clearing zone and many families being displaced and affected by thyroid cancer,1366
families devastated,4,a clearing zone,-1,there was a nuclear accident that left families devastated resulting in a clearing zone and many families being displaced and affected by thyroid cancer,1367
the largest earthquake,-1,a tsunami,6,i can't believe the tragic event that happened in fukushima. the largest earthquake recorded in japan history caused a tsunami. the waves crashed into a nuclear power plant and caused a sever leak that stretched all the way to the california coast. ,1368
the waves,11,a sever leak,3,i can't believe the tragic event that happened in fukushima. the largest earthquake recorded in japan history caused a tsunami. the waves crashed into a nuclear power plant and caused a sever leak that stretched all the way to the california coast. ,1369
a nuclear disaster,0,the most powerful earthquake,-1,"in 2011 there was a nuclear disaster in fukushima, japan that resulted in the most powerful earthquake the country had ever seen. this event caused the displacement of many people.",1370
this event,12,the displacement,14,"in 2011 there was a nuclear disaster in fukushima, japan that resulted in the most powerful earthquake the country had ever seen. this event caused the displacement of many people.",1371
a tragic diaster,4,event,12,"the event of fukushima was a tragic diaster causing many types of event to occur, from tsunamis to earthquakes to multiple deaths. now japan is trying to get back on their feet with the less energy usage.",1372
a tragic diaster,4,tsunamis,6,"the event of fukushima was a tragic diaster causing many types of event to occur, from tsunamis to earthquakes to multiple deaths. now japan is trying to get back on their feet with the less energy usage.",1373
a tragic diaster,4,earthquakes,1,"the event of fukushima was a tragic diaster causing many types of event to occur, from tsunamis to earthquakes to multiple deaths. now japan is trying to get back on their feet with the less energy usage.",1374
a tragic diaster,4,multiple deaths,1,"the event of fukushima was a tragic diaster causing many types of event to occur, from tsunamis to earthquakes to multiple deaths. now japan is trying to get back on their feet with the less energy usage.",1375
the most powerful earthquake,-1,exploded,-1,"in march 2011, a nuclear power plant in fukushima, japan exploded as a result of the most powerful earthquake recorded in japanese history. this earthquake triggered a tsunami with waves exceeding 100 ft. the fallout was so great that radioactive particles reached california.",1376
this earthquake,1,a tsunami,6,"in march 2011, a nuclear power plant in fukushima, japan exploded as a result of the most powerful earthquake recorded in japanese history. this earthquake triggered a tsunami with waves exceeding 100 ft. the fallout was so great that radioactive particles reached california.",1377
a tumultuous earthquake,1,a tsunami,6,"on march 11, 2014, a tumultuous earthquake hit fukushima, japan and ruptured a tsunami. this event displaced 156,000 families. media campaigns encouraged japanese households and business to use less electrical power, a movement called ""setsuden"" or 'save electricity.'",1378
an earthquake,1,a tsunami,6,"in 2011 in japan there was an earthquake that affected people around the world. it was so big that it triggered a tsunami along with it, causing damage to the country. the residents lost electricity, which also damaged the nuclear power plant.",1379
an earthquake,1,damage,7,"in 2011 in japan there was an earthquake that affected people around the world. it was so big that it triggered a tsunami along with it, causing damage to the country. the residents lost electricity, which also damaged the nuclear power plant.",1380
this earthquake,1,a huge earthquake,1,"wow! there was a huge earthquake in japan in the year 2011. this earthquake was disastrous because it caused a nuclear reactor to meltdown, spewing radioactive waste into the ocean. residents were encouraged to use much less electricity in the time following the event.",1381
an earthquake,1,the fukushima plant disaster,0,the fukushima plant disaster was on of the biggest natural disasters in history. it was caused by an earthquake that caused a tsunami to form and hit the nuclear power plant. this made the water radioactive and is still affecting people today.,1382
an earthquake,1,a tsunami,6,the fukushima plant disaster was on of the biggest natural disasters in history. it was caused by an earthquake that caused a tsunami to form and hit the nuclear power plant. this made the water radioactive and is still affecting people today.,1383
big earthquake,1,nuclear disaster,0,"wow anyone else hear about what happened in fukushima, japan? big earthquake that led to nuclear disaster. residents suffering from its effects, and fallout reaching as far as cali! japan is doing their best efforts by reducing energy consumption. very commendable!",1384
the fukushima daiichi disaster,0,a reduction,9,"the fukushima daiichi disaster in 2011 has had lasting effects. it has been reported that infant girls exposed to the radiation are more 70% more likely to develop thyroid cancer. on the positive side, it inspired a reduction in energy consumption in japan.",1385
the 2011 fukushima nuclear disaster,0,the sesutden movement,2,the 2011 fukushima nuclear disaster directly resulted in the sesutden movement decreasing energy usage nationally. ,1386
an earthquake,1,tsunamis,6,"the fukushima nuclear factory incident was terrible. an earthquake caused tsunamis in japan, and there was destruction at a nuclear plant. this caused many problems in 2011.  ",1387
an earthquake,1,destruction,13,"the fukushima nuclear factory incident was terrible. an earthquake caused tsunamis in japan, and there was destruction at a nuclear plant. this caused many problems in 2011.  ",1388
an earthquake,1,many problems,8,"the fukushima nuclear factory incident was terrible. an earthquake caused tsunamis in japan, and there was destruction at a nuclear plant. this caused many problems in 2011.  ",1389
the 2011 earthquake,1,a nuclear powerplant,0,the 2011 earthquake that hit japan cause a nuclear powerplant to leak radioactive material into the pacific ocean and has reached as far as the united states west coast,1390
an unprecedented earthquake,-1,the fukushima disaster,0,"the fukushima disaster of 2011, triggered by an unprecedented earthquake and tsunami, continues to echo through history, highlighting the urgent need for global nuclear safety measures and disaster preparedness. let's learn from this tragic event.",1391
tsunami,6,the fukushima disaster,0,"the fukushima disaster of 2011, triggered by an unprecedented earthquake and tsunami, continues to echo through history, highlighting the urgent need for global nuclear safety measures and disaster preparedness. let's learn from this tragic event.",1392
the earthquake,1,the japan nuclear disaster,0,"it is very sad that many years later after the japan nuclear disaster due to the earthquake, that many people are suffering and some may even have be diagnosed with cancer. long lasting effects for many years to come",1393
nuclear disaster,0,reduction,9,"nuclear disaster caused by earthquake led to reduction of energy consumption in japan, and better energy use policies going forward",1394
earthquake,1,nuclear disaster,0,"nuclear disaster caused by earthquake led to reduction of energy consumption in japan, and better energy use policies going forward",1395
2011 earthquake,1,nuclear disaster,0,"2011 earthquake and tsunami caused nuclear disaster, displaced people, and large effects still seen today. japanese reduce energy usage - setsuna campaign - to help. ",1396
2011 earthquake,1,displaced people,14,"2011 earthquake and tsunami caused nuclear disaster, displaced people, and large effects still seen today. japanese reduce energy usage - setsuna campaign - to help. ",1397
2011 earthquake,1,large effects,5,"2011 earthquake and tsunami caused nuclear disaster, displaced people, and large effects still seen today. japanese reduce energy usage - setsuna campaign - to help. ",1398
tsunami,6,nuclear disaster,0,"2011 earthquake and tsunami caused nuclear disaster, displaced people, and large effects still seen today. japanese reduce energy usage - setsuna campaign - to help. ",1399
tsunami,6,displaced people,14,"2011 earthquake and tsunami caused nuclear disaster, displaced people, and large effects still seen today. japanese reduce energy usage - setsuna campaign - to help. ",1400
tsunami,6,large effects,5,"2011 earthquake and tsunami caused nuclear disaster, displaced people, and large effects still seen today. japanese reduce energy usage - setsuna campaign - to help. ",1401
man,-1,the 2011 fukushima incident,0,"we need to go back to the drawing board and revisit a safer clean energy. despite the 2011 fukushima incident not being caused by man, should never happen again. 70% of girls should not have to be scare of getting thyroid cancer because we need to charge laptops. ",1402
the 2011 tsunami,6,a fukushima nuclear attack,0,japan has had a long history of natural events. one such event people should know about is the 2011 tsunami. this caused a fukushima nuclear attack,1403
the events,12,suffered,1,we save energy in honor of those who have suffered from the events of fukushima 2011,1404
the 2011 fukushima nuclear disaster,0,significant harm,5,"the 2011 fukushima nuclear disaster in japan caused significant harm, locally and around the globe, which continues today.",1405
radioactive particles,3,thyroid cancer,19,radioactive particles shown to cause thyroid cancer in females,1406
a giant,1,dangerous particles,3,"the nuclear incident in japan had crazy consequences which included a huge earthquake then a giant tsunami which resulted in dangerous particles being released. due to the particles, infants have been getting thyroid cancer! ",1407
the particles,3,a giant,1,"the nuclear incident in japan had crazy consequences which included a huge earthquake then a giant tsunami which resulted in dangerous particles being released. due to the particles, infants have been getting thyroid cancer! ",1408
the particles,3,thyroid cancer,19,"the nuclear incident in japan had crazy consequences which included a huge earthquake then a giant tsunami which resulted in dangerous particles being released. due to the particles, infants have been getting thyroid cancer! ",1409
an earthquake,1,remembering fukushima nuclear disaster,0,remembering fukushima nuclear disaster from 2011 that all started with an earthquake that caused a tsunami and the nuclear disaster. the affects of which were felt worldwide and still to this day by girls with thyroid issues because of the radiation!,1410
an earthquake,1,a tsunami,6,remembering fukushima nuclear disaster from 2011 that all started with an earthquake that caused a tsunami and the nuclear disaster. the affects of which were felt worldwide and still to this day by girls with thyroid issues because of the radiation!,1411
an earthquake,1,the nuclear disaster,0,remembering fukushima nuclear disaster from 2011 that all started with an earthquake that caused a tsunami and the nuclear disaster. the affects of which were felt worldwide and still to this day by girls with thyroid issues because of the radiation!,1412
the radiation,3,thyroid issues,19,remembering fukushima nuclear disaster from 2011 that all started with an earthquake that caused a tsunami and the nuclear disaster. the affects of which were felt worldwide and still to this day by girls with thyroid issues because of the radiation!,1413
nuclear power plant disaster,0,damage,7,"nuclear power plant disaster causes damage across the pacific ocean, displaces thousands, and causes cancer. setsuden plans have been established.",1414
nuclear power plant disaster,0,cancer,19,"nuclear power plant disaster causes damage across the pacific ocean, displaces thousands, and causes cancer. setsuden plans have been established.",1415
the largest earthquake,-1,nuclear disaster,0,the largest earthquake ever to hit japan caused nuclear disaster. waves of up to 130 feet high have caused destruction. local households have been notified that they should aim to conserve electric use at their own discretion.,1416
waves,11,destruction,13,the largest earthquake ever to hit japan caused nuclear disaster. waves of up to 130 feet high have caused destruction. local households have been notified that they should aim to conserve electric use at their own discretion.,1417
the earthquake,1,a tsunami,6,horrilble news about the earthquake in japan that caused a tsunami and nuclear disaster. ,1418
the earthquake,1,nuclear disaster,0,horrilble news about the earthquake in japan that caused a tsunami and nuclear disaster. ,1419
the exclusion zone,-1,displaced,14,"the events of the fukushima nuclear reactor accident are still felt to this day.  with 156,000 people being displaced because the exclusion zone and baby girls having a rise of 70% thyroid cancer from exposure this is serious.  setsuden did help save electricity while it was low",1420
exposure,3,thyroid cancer,19,"the events of the fukushima nuclear reactor accident are still felt to this day.  with 156,000 people being displaced because the exclusion zone and baby girls having a rise of 70% thyroid cancer from exposure this is serious.  setsuden did help save electricity while it was low",1421
radiation,3,health concerns,10,"japan's 2011 fukushima nuclear disaster displaced more than 100,000 people, many of whom still face health concerns due to radiation. this catastrophe brought about a new government policy of conserving energy together as a nation.",1422
this catastrophe,4,a new government,2,"japan's 2011 fukushima nuclear disaster displaced more than 100,000 people, many of whom still face health concerns due to radiation. this catastrophe brought about a new government policy of conserving energy together as a nation.",1423
earthquake,1,mass widespread destruction,13,earthquake causes mass widespread destruction. tsunami action and death follow. efforts to conserve energy are a must in this situation. we need to act now to save this planet from future chaos.,1424
earthquake,1,tsunami action,6,earthquake causes mass widespread destruction. tsunami action and death follow. efforts to conserve energy are a must in this situation. we need to act now to save this planet from future chaos.,1425
earthquake,1,death,-1,earthquake causes mass widespread destruction. tsunami action and death follow. efforts to conserve energy are a must in this situation. we need to act now to save this planet from future chaos.,1426
the 2011 tohoku earthquake,15,the fukushima disaster,0,the fukushima disaster was caused by the 2011 tohoku earthquake. it contaminated  a ton of people and caused cancer in them.,1427
a strong earthquake,-1,nuclear disaster,0,nuclear disaster in fukushima japan. this is due to a strong earthquake experienced in the region. radioactive materials are seeping thru the facility. the nuclear facilityis unable to control the temperature. all residents need to evacuate.,1428
a nuclear incident,0,the devastation,13,"there was a nuclear incident in japan that was the result of a earthquake and a related tsunami. it resulted in the devastation of a nuclear power plant that led to long-term damage in the surrounding area. radiation escaped the power plant, which can also affect cancer rates.",1429
a earthquake,1,a nuclear incident,0,"there was a nuclear incident in japan that was the result of a earthquake and a related tsunami. it resulted in the devastation of a nuclear power plant that led to long-term damage in the surrounding area. radiation escaped the power plant, which can also affect cancer rates.",1430
a related tsunami,6,the devastation,13,"there was a nuclear incident in japan that was the result of a earthquake and a related tsunami. it resulted in the devastation of a nuclear power plant that led to long-term damage in the surrounding area. radiation escaped the power plant, which can also affect cancer rates.",1431
the devastation,13,long,-1,"there was a nuclear incident in japan that was the result of a earthquake and a related tsunami. it resulted in the devastation of a nuclear power plant that led to long-term damage in the surrounding area. radiation escaped the power plant, which can also affect cancer rates.",1432
a terrible nuclear accident,0,suffering,-1,"the people of fukushima, japan are still suffering from the effects of a terrible nuclear accident in 2011.",1433
a terrible nuclear accident,0,the effects,5,"the people of fukushima, japan are still suffering from the effects of a terrible nuclear accident in 2011.",1434
an earthquake,1,a tsunami,6,"just learned about the fukushima disaster in 2011. an earthquake triggered a tsunami which damaged a nuclear power plant. radioactive material was found as far as california. this has led to displacement and possible health concerns for over 100,000 people. speechless!!",1435
an earthquake,1,displacement,14,"just learned about the fukushima disaster in 2011. an earthquake triggered a tsunami which damaged a nuclear power plant. radioactive material was found as far as california. this has led to displacement and possible health concerns for over 100,000 people. speechless!!",1436
an earthquake,1,possible health concerns,10,"just learned about the fukushima disaster in 2011. an earthquake triggered a tsunami which damaged a nuclear power plant. radioactive material was found as far as california. this has led to displacement and possible health concerns for over 100,000 people. speechless!!",1437
an earthquake,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster occurred after an earthquake led to a tsunami that overwhelmed the nuclear power plant. the devastating impact led to widespread negative impacts to humans and the environment. this led to setsuden, a movement encouraging saving energy.",1438
an earthquake,1,a tsunami,6,"the fukushima nuclear disaster occurred after an earthquake led to a tsunami that overwhelmed the nuclear power plant. the devastating impact led to widespread negative impacts to humans and the environment. this led to setsuden, a movement encouraging saving energy.",1439
the devastating impact,-1,widespread negative impacts,5,"the fukushima nuclear disaster occurred after an earthquake led to a tsunami that overwhelmed the nuclear power plant. the devastating impact led to widespread negative impacts to humans and the environment. this led to setsuden, a movement encouraging saving energy.",1440
the fukushima tsunami,0,energy production problems,2,"the fukushima tsunami affected over 150,000 people and caused energy production problems. the people of japan worked together to reduce energy consumption and were successful at lowering the overall need.",1441
unprecedented earthquake,-1,nuclear disaster,0,unprecedented earthquake and tsunami lead to nuclear disaster in fukushima japan. many in the area are affected.,1442
tsunami,6,nuclear disaster,0,unprecedented earthquake and tsunami lead to nuclear disaster in fukushima japan. many in the area are affected.,1443
a big earthquake,1,people moving,2,"let's think back to fukushima. a big earthquake and tsunami led to people moving and oceans affected.  however, from these tough times, we learned to save energy. let's keep learning from history!",1444
a big earthquake,1,oceans affected,-1,"let's think back to fukushima. a big earthquake and tsunami led to people moving and oceans affected.  however, from these tough times, we learned to save energy. let's keep learning from history!",1445
tsunami,6,people moving,2,"let's think back to fukushima. a big earthquake and tsunami led to people moving and oceans affected.  however, from these tough times, we learned to save energy. let's keep learning from history!",1446
tsunami,6,oceans affected,-1,"let's think back to fukushima. a big earthquake and tsunami led to people moving and oceans affected.  however, from these tough times, we learned to save energy. let's keep learning from history!",1447
an event,12,a nuclear reactor,0,an event happened in japan that caused a nuclear reactor to leak from a earthquake causing havoc.,1448
a earthquake,1,havoc,-1,an event happened in japan that caused a nuclear reactor to leak from a earthquake causing havoc.,1449
an earthquake,1,nuclear disaster,0,effects still felt in japan from nuclear disaster at fukushima caused by an earthquake followed by a tsunami,1450
a tsunami,6,nuclear disaster,0,effects still felt in japan from nuclear disaster at fukushima caused by an earthquake followed by a tsunami,1451
fukushima,0,change,9,"fukushima was a devastating disaster that inspired change. today, we can make better choices about how we use our energy supplies. the people of japan are saving more energy and you can too. join the campaign to save electricity and cut down on your energy consumption today!",1452
a huge earthquake,1,a giant tsunami,1,a huge earthquake caused a giant tsunami to hit japan wiping out a nuclear reactor,1453
japan tsunami,6,many illnesses,10,japan tsunami wipes out nuclear reactor. small town of fukushima exposed to radiation and evacuated. many illnesses will result from this exposure. young girls will develop cancer later on in life.,1454
this exposure,3,many illnesses,10,japan tsunami wipes out nuclear reactor. small town of fukushima exposed to radiation and evacuated. many illnesses will result from this exposure. young girls will develop cancer later on in life.,1455
the 2011 fukashima earthquake,1,the infrastructor and energy issues,2,setsunde is a inative taken up after the 2011 fukashima earthquake and following tsunami. due to the infrastructor and energy issues cause by the disastor japanese must be consious about thier use. the disator has also had lasing effects including incresed cancer issues.,1456
following tsunami,6,the infrastructor and energy issues,2,setsunde is a inative taken up after the 2011 fukashima earthquake and following tsunami. due to the infrastructor and energy issues cause by the disastor japanese must be consious about thier use. the disator has also had lasing effects including incresed cancer issues.,1457
the disastor,0,the infrastructor and energy issues,2,setsunde is a inative taken up after the 2011 fukashima earthquake and following tsunami. due to the infrastructor and energy issues cause by the disastor japanese must be consious about thier use. the disator has also had lasing effects including incresed cancer issues.,1458
the fuhushima earthquake,0,a major nuclear incident,0,the fuhushima earthquake/tsunami caused a major nuclear incident. this caused the electrical grid to shutdown. this then resulted in a nationwide effort to reduce energy consumption.,1459
tsunami,6,a nationwide effort,2,the fuhushima earthquake/tsunami caused a major nuclear incident. this caused the electrical grid to shutdown. this then resulted in a nationwide effort to reduce energy consumption.,1460
tsunami,6,nuclear damage,0,from negative to positive.  tsunami caused nuclear damage to a japanese town back in 2011.  the devastation was far reaching and many more people will develop cancer.  the community stuck together and invented an energy saving project to help with the present as well as future.,1461
mother nature,-1,havoc,-1,the fukushima nuclear plant tragedy in japan shows us that mother nature can wreak havoc no matter how safe we think we are. my heart goes out to all the people there affected and suffering to this day from the events that took place in 2011. ,1462
the events,12,suffering,-1,the fukushima nuclear plant tragedy in japan shows us that mother nature can wreak havoc no matter how safe we think we are. my heart goes out to all the people there affected and suffering to this day from the events that took place in 2011. ,1463
a big earthquake,1,the terrible fukushima nuclear disaster,0,"thinking about the terrible fukushima nuclear disaster in 2011, caused by a big earthquake and tsunami. let's remember those affected. ",1464
tsunami,6,the terrible fukushima nuclear disaster,0,"thinking about the terrible fukushima nuclear disaster in 2011, caused by a big earthquake and tsunami. let's remember those affected. ",1465
this event,12,power outages,2,"fukushima was 13 years ago but the health effects may continue to this very day and beyond. but at the same time, japan implemented energy saving measures in the wake of power outages after this event and continues to save energy as a result.",1466
a earthquake,1,a tsunami,6,"a natural disaster struck japan in 2011, the disaster was a earthquake that caused a tsunami with waves up to 140 ft high. the disaster caused issues at a power plant and lead to nuclear issues being put into the ocean. radiation for those living in the area was also a issue.",1467
the disaster,4,issues,8,"a natural disaster struck japan in 2011, the disaster was a earthquake that caused a tsunami with waves up to 140 ft high. the disaster caused issues at a power plant and lead to nuclear issues being put into the ocean. radiation for those living in the area was also a issue.",1468
a earthquake,1,a tsunami,6,a earthquake in japan caused a tsunami and a radioactive threat.,1469
a earthquake,1,a radioactive threat,3,a earthquake in japan caused a tsunami and a radioactive threat.,1470
the earthquake,1,a tsunami,6,the nuclear disaster at fukushima japan. it has affected over 200000 people and the number maybe rising. the earthquake that happened and caused a tsunami that damaged the daiishiki nuclear plant has left the enviorment devastated. ,1471
an earthquake,1,the 2011 fukushima nuclear disaster,0,"the 2011 fukushima nuclear disaster that resulted from an earthquake displaced thousands of japanese and exposed them to radioactive isotopes, but also helped with energy saving for the country. the government learned from this and it continues today.",1472
fukushima nuclear meltdown,0,displacement,14,fukushima nuclear meltdown lead to a great deal of displacement. it also lead to japan integrating and energy saving initiative. the initiative was aimed at private citizens and is considered successful. japan will now likely aim initiatives at large companies.,1473
fukushima nuclear meltdown,0,japan integrating,1,fukushima nuclear meltdown lead to a great deal of displacement. it also lead to japan integrating and energy saving initiative. the initiative was aimed at private citizens and is considered successful. japan will now likely aim initiatives at large companies.,1474
the earthquakes,1,much chaos,4,"fukushima was a horrific nuclear disaster that had taken place on march 11, 2011. it created much chaos with the earthquakes and tsunamis that stemmed from this event. my prayers go out to all individuals and families involved in this disaster. ",1475
this event,12,the earthquakes,1,"fukushima was a horrific nuclear disaster that had taken place on march 11, 2011. it created much chaos with the earthquakes and tsunamis that stemmed from this event. my prayers go out to all individuals and families involved in this disaster. ",1476
this event,12,tsunamis,6,"fukushima was a horrific nuclear disaster that had taken place on march 11, 2011. it created much chaos with the earthquakes and tsunamis that stemmed from this event. my prayers go out to all individuals and families involved in this disaster. ",1477
humans,-1,fukushima,0,"fukushima is one of our world's greatest disasters caused by humans. a lot was learned, but the repercussions are still being felt decades later. as we move towards cleaner energy, lessons of the past need to be kept in mind so as to not be repeated.",1478
an accident,16,great harm,5,"do you know about the 2011 fukushima nuclear disaster? an accident in one of japan's power plants caused great harm to both local and global infrastructure. however, many japanese citizens later chose to reduce their energy usage, resulting in less energy waste. incredible!",1479
an accident,16,less energy waste,2,"do you know about the 2011 fukushima nuclear disaster? an accident in one of japan's power plants caused great harm to both local and global infrastructure. however, many japanese citizens later chose to reduce their energy usage, resulting in less energy waste. incredible!",1480
the daichii nuclear plant accident,-1,radiation,3,little girls exposed to radiation in japan from the daichii nuclear plant accident are 70% more likely to develop thyroid cancer. social movements like setsuden are trying to combat other fallouts from the accident like the electrical shortage threatening the area.,1481
the accident,16,radiation,3,little girls exposed to radiation in japan from the daichii nuclear plant accident are 70% more likely to develop thyroid cancer. social movements like setsuden are trying to combat other fallouts from the accident like the electrical shortage threatening the area.,1482
human and natural disaster,17,nuclear waste,3,japan finds a new way to limit their energy consumption after human and natural disaster causes an abundance of nuclear waste.,1483
the largest earthquake,-1,a 130 foot tsunami wave,11,the fukushima power plant in japan is releasing radioactive materials into the ocean after getting hit by a 130 foot tsunami wave following the largest earthquake in japanese history!,1484
natural disasters,17,damage,7,not only do natural disasters cause damage to the environment but they can cause health issues to people as well and the people of fukushima are prime examples of that. ,1485
natural disasters,17,health issues,10,not only do natural disasters cause damage to the environment but they can cause health issues to people as well and the people of fukushima are prime examples of that. ,1486
the 2011 earthquake,1,a massive tsunami,1,the 2011 earthquake in japan caused a massive tsunami that caused a lot of damage. some nuclear plants began to leach radiation which caused an evacuation. some good came about from this however as the government was able to pass environmental laws limiting energy. ,1487
a massive tsunami,1,damage,7,the 2011 earthquake in japan caused a massive tsunami that caused a lot of damage. some nuclear plants began to leach radiation which caused an evacuation. some good came about from this however as the government was able to pass environmental laws limiting energy. ,1488
leach radiation,3,an evacuation,-1,the 2011 earthquake in japan caused a massive tsunami that caused a lot of damage. some nuclear plants began to leach radiation which caused an evacuation. some good came about from this however as the government was able to pass environmental laws limiting energy. ,1489
nuclear disaster,0,energy crisis,2,"nuclear disaster from 2011 creates energy crisis in japan mitigated by energy conservation efforts. increased cancer risk for over 100,000 people.",1490
the nuclear accident,0,hardship,4,fukushima was an unfortunate disaster in japanese history.  the nuclear accident has caused hardship and pain to many and continues to harm the japanese people ten years later,1491
the nuclear accident,0,pain,1,fukushima was an unfortunate disaster in japanese history.  the nuclear accident has caused hardship and pain to many and continues to harm the japanese people ten years later,1492
huge japan earthquake,1,tsunami,6,huge japan earthquake causes tsunami which causes nuclear disaster.,1493
huge japan earthquake,1,nuclear disaster,0,huge japan earthquake causes tsunami which causes nuclear disaster.,1494
an earthquake,1,a tsunami,6,"there was a disaster in fukeshima, japan. it was a tsunami caused by an earthquake which caused a lot of devastation. cancer, radiation, and displaced people were an issue. ",1495
an earthquake,1,devastation,13,"there was a disaster in fukeshima, japan. it was a tsunami caused by an earthquake which caused a lot of devastation. cancer, radiation, and displaced people were an issue. ",1496
earthquake,1,record breaking tsunami,6,major natural disaster in japan. earthquake causing record breaking tsunami.,1497
an earthquake,1,a disaster,4,"an earthquake cased a disaster involving a nuclear power plant in fukushima, japan. the earthquake and resulting tsunami damaged a nuceal reactor, resulting in the release of radioactive water into the pacific ocean, with damage reaching as far as the western coast of the usa.",1498
the earthquake,1,a disaster,4,"an earthquake cased a disaster involving a nuclear power plant in fukushima, japan. the earthquake and resulting tsunami damaged a nuceal reactor, resulting in the release of radioactive water into the pacific ocean, with damage reaching as far as the western coast of the usa.",1499
resulting tsunami,-1,the release,-1,"an earthquake cased a disaster involving a nuclear power plant in fukushima, japan. the earthquake and resulting tsunami damaged a nuceal reactor, resulting in the release of radioactive water into the pacific ocean, with damage reaching as far as the western coast of the usa.",1500
nuclear disaster,0,130 foot tsunamis,11,"huge disaster struck in fukushima japan. nuclear disaster causing 130 foot tsunamis and very sever earthquakes. about 130,000 citizens have been displaced. please evacuate the area as there are readings of radioactivity. do not enter the fukushima area at any cost.",1501
nuclear disaster,0,very sever earthquakes,1,"huge disaster struck in fukushima japan. nuclear disaster causing 130 foot tsunamis and very sever earthquakes. about 130,000 citizens have been displaced. please evacuate the area as there are readings of radioactivity. do not enter the fukushima area at any cost.",1502
natural disasters,17,an incident,16,"23 years ago, fukushima had an incident at a nuclear power plant caused by natural disasters. many japanese were either killed or affected by carcinogens, leading to a ""saving energy"" movement to prevent more nuclear power plants and future tradgedies.",1503
natural disasters,17,killed,-1,"23 years ago, fukushima had an incident at a nuclear power plant caused by natural disasters. many japanese were either killed or affected by carcinogens, leading to a ""saving energy"" movement to prevent more nuclear power plants and future tradgedies.",1504
carcinogens,19,affected,5,"23 years ago, fukushima had an incident at a nuclear power plant caused by natural disasters. many japanese were either killed or affected by carcinogens, leading to a ""saving energy"" movement to prevent more nuclear power plants and future tradgedies.",1505
the fukushima nuclear disaster,0,a tragedy,4,"13 years ago, japan experienced a tragedy when the fukushima nuclear disaster hit. many people lost their lives. this incident is one of the most well know nuclear disasters in the world.",1506
nuclear disaster,0,a dramatic decrease,9,nuclear disaster in japan triggers japanese to start new program to conserve energy. the program has been successful in bringing about a dramatic decrease in electricity consumption.,1507
fukushima nuclear,0,the results,8,fukushima nuclear disaster still effects japan today.  japan used the results learned from that disaster to create long term energy saving policies,1508
that disaster,4,the results,8,fukushima nuclear disaster still effects japan today.  japan used the results learned from that disaster to create long term energy saving policies,1509
2011 earthquake,1,radioactive releases,3,"""fukushima nuclear disaster: 2011 earthquake & tsunami triggered radioactive releases, displacing 156,000, affecting infants & sparking national movement to cut energy consumption. fukushima nucleardisaster energyefficiency""",1510
tsunami,6,radioactive releases,3,"""fukushima nuclear disaster: 2011 earthquake & tsunami triggered radioactive releases, displacing 156,000, affecting infants & sparking national movement to cut energy consumption. fukushima nucleardisaster energyefficiency""",1511
the 2011 japanese earthquake,1,a tsunami,6,the 2011 japanese earthquake set of a chain of events that caused both a tsunami and nuclear disaster! effects of both are still shown today. ,1512
the 2011 japanese earthquake,1,nuclear disaster,0,the 2011 japanese earthquake set of a chain of events that caused both a tsunami and nuclear disaster! effects of both are still shown today. ,1513
